AAPL	
MSFT	
NVDA	
AMZN	
GOOGL	
GOOG	
META	
BRK.B	
TSLA	
AVGO	
LLY	
WMT	
JPM	
V	
MA	
XOM	
NFLX
COST
ORCL
UNH	
PG	
JNJ	
HD	
ABBV
KO	
BAC	
PM	
PLTR
TMUS
CRM	
CVX	
WFC	
MCD	
CSCO
ABT	
LIN	
GE	
IBM	3B
MRK	
NOW	
T	
MS	
AXP	
ISRG
ACN	
PEP	
GS	
VZ	
INTU
RTX	
QCOM
DIS	
UBER
BX	
TMO	
ADBE
BKNG
AMD	
PGR	
AMGN
BSX	
SPGI
TXN	
CAT	
SCHW
TJX	
DHR	
BLK	
SYK	
NEE	
BA	
PFE	
C	
GILD
HON	
UNP	
VRTX
CMCSA	
DE	
LOW	
AMAT
ADP	
PANW
COP	
ETN	
LMT	
CB	
MMC	
MDT	
CRWD
GEV	
KKR	
SO	
FI	
AMT	
MO	
ANET
BMY	
ADI	
PLD	
CME	
ELV	
WELL
SBUX
ICE	
DUK	
KLAC
APH	
WM	
LRCX
CI	
MU	
INTC
MCK	
NKE	
MDLZ
CTAS
UPS	
SHW	
CVS	
AJG	
EQIX
HCA	
CDNS
MCO	
DASH
FTNT
TT	
TDG	
PH	
ORLY
CL	
APO	
ABNB
RSG	
MMM	
GD	
AON	
WMB	
MSI	
ITW	
CMG	
COF	
CEG	
SNPS
ZTS	
NOC	
ECL	
DELL
MAR	
REGN
WDAY
PYPL
PNC	
EOG	
USB	
AZO	
NEM	
ROP	
KMI	
APD	
EMR	
CHTR
SPG	
AFL	
BDX	
CPRT
TRV	
ADSK
MNST
RCL	
AEP	
BK	
COR	
HWM	
DLR	
FCX	
JCI	
HLT	
CSX	
CARR
OKE	
PAYX
MET	
ALL	
PSA	
O	
FDX	
NSC	
TFC	
NXPI
SRE	
GWW	
PCAR
FICO
AIG	
SLB	
KDP	
DFS	
EXC	
KR	
FAST
AXON
ROST
GM	
D	
AMP	
EW	
KVUE
TGT	
KMB	
CCI	
NDAQ
VST	
TEL	
MPC	
PWR	
PSX	
FIS	
CTVA
MSCI
URI	
YUM	
HES	
LHX	
PEG	
CMI	
VRSK
FANG
F	
XEL	
ED	
TTWO
OXY	
TRGP
AME	
GRMN
DHI	
EA	
GLW	
PCG	
OTIS
ETR	
PRU	
BKR	
VLO	
CTSH
CBRE
IDXX
KHC	
SYY	
RMD	
WEC	
VICI
CSGP
ACGL
HIG	
CAH	
HSY	
STZ	
BRO	
VMC	
LULU
IT	
EFX	
HUM	
EBAY
WAB	
GEHC
EXR	
ODFL
GIS	
LYV	
TPL	
MLM	
A	
EQT	
IR	
VTR	
WTW	
AVB	
CNC	
K	
LEN	
XYL	
RJF	
DXCM
ANSS
ROK	
AWK	
DTE	
MPWR
BR	
DD	
MTB	
DAL	
TKO	
EQR	
ROL	
WRB	
NUE	
TSCO
AEE	
PPL	
IQV	
STT	
GDDY
IRM	
VRSN
LVS	
MCHP
ATO	
IP	
CNP	
KEYS
EXE	
FE	
CHD	
CCL	
SBAC
HPQ	
FITB
FTV	
DRI	
PPG	
DOV	
ADM	
VLTO
CPAY
TYL	
FOXA
CBOE
EIX	
UAL	
MTD	
STE	
SW	
SMCI
CMS	
TSN	
TDY	
NRG	
FOX	
EL	
HPE	
WBD	
ES	
DOW	
HBAN
CINF
NVR	
CDW	
INVH
EXPE
DG	
PHM	
DVN	
ZBH	
WAT	
MKC	
TROW
SYF	
IFF	
CTRA
DGX	
LYB	
HUBB
LH	
MAA	
STLD
ERIE
LDOS
WSM	
LII	
NI	
PTC	
ESS	
PODD
RF	
WY	
NTAP
HAL	
L	
GPN	
NTRS
STX	
BIIB
ULTA
DLTR
MOH	
CLX	
EG	
ON	
DPZ	
DECK
PFG	
PKG	
KEY	
HRL	
CFG	
GPC	
COO	
SNA	
FDS	
BF.B
NWS	
JBL	
EVRG
LNT	
GEN	
FFIV
BAX	
WST	
NWSA
FSLR
LUV	
TRMB
UDR	
EXPD
J	
PNR	
OMC	
BBY	
BALL
TPR	
WDC	
KIM	
BLDR
AMCR
RL	
AVY	
ALGN
ARE	
IEX	
CF	
HOLX
REG	
PAYC
JBHT
APTV
MAS	
DOC	
CPT	
ZBRA
JKHY
TER	
TXT	
SJM	
JNPR
ALLE
CAG	
AKAM
BXP	
TAP	
INCY
SOLV
RVTY
UHS	
DVA	
PNW	
POOL
BG	
CPB	
NDSN
CHRW
MRNA
GL	
KMX	
BEN	
HST	
VTRS
AIZ	
LKQ	
SWK	
WBA	
SWKS
AOS	
MOS	
DAY	
IPG	
EPAM
MGM	
HII	
EMN	
WYNN
HAS	
MKTX
FRT	
HSIC
TECH
PARA
NCLH
MTCH
LW	
AES	
ALB	
GNRC
MHK	
IVZ	
ENPH
CZR	
APA	
CRL	

