TYT.L
AZN.L
AZNL.XC
HSBA.L
HSBAL.XC
SHEL.L
SHELL.XC
ULVR.L
BHP.L
RIO.L
REL.L
BATS.L
BATSL.XC
RR.L
RRL.XC
BP.L
BPL.XC
GSKL.XC
GSK.L
LLOY.L
BAL.XC
BA.L
NG.L
NGL.XC
DGE.L
BARC.L
BARCL.XC
CPG.L
III.L
STAN.L
HLN.L
HLNL.XC
NWGL.XC
GLEN.L
GLENL.XC
LLOYL.XC
NWG.L
AAL.L
TSCO.L
TSCOL.XC
STANL.XC
PRU.L
PRUL.XC
VOD.L
VODL.XC
0QFP.IL
BT-A.L
BTL.XC
AVL.XC
AV.L
IAG.L
IAGL.XC
LGENL.XC
LGEN.L
SMT.L
INF.L
INFL.XC
SGRO.L
RTO.L
AUTO.L
CNA.L
CNAL.XC
FRES.L
MKS.L
MKSL.XC
SMIN.L
BTRW.L
BTRWL.XC
WPPL.XC
WPP.L
MRO.L
MROL.XC
SBRY.L
SBRYL.XC
AAF.L
AAFL.XC
ICG.L
PHNX.L
RMV.L
KGFL.XC
BEZ.L
CTEC.L
KGF.L
MNGL.XC
MNG.L
JD.L
JDL.XC
LAND.L
BAB.L
BLND.L
TW.L
TWL.XC
0O84.IL
EZJ.L
LMPL.XC
LMP.L
PCT.L
IGG.L
DLG.L
0R87.IL
BBOX.L
BME.L
INVP.L
0NW4.IL
0HC0.IL
ITVL.XC
ITV.L
BRBY.L
ABDN.L
JGGI.L
RS1.L
ROOL.XC
ROO.L
SHC.L
HBR.L
UKW.L
0H6T.IL
QQ.L
HICL.L
DRX.L
OCDO.L
INPP.L
EMG.L
TRIG.L
MRC.L
IWG.L
TEM.L
NOVNZ.XC
MTO.L
GGP.L
PNL.L
GRI.L
AGRL.XC
AGR.L
0RQ6.IL
0MPH.IL
DATA.L
0QWI.IL
WWH.L
HOC.L
0H6X.IL
CURY.L
PHP.L
BNKR.L
ONT.L
TTE.L
0RJI.IL
HAS.L
COA.L
HASL.XC
SEQI.L
JMG.L
SRC.L
0OMK.IL
MONY.L
0NMK.IL
PTEC.L
TRST.L
AGT.L
0RH0.IL
0NWX.IL
BBGI.L
SUPR.L
0QE6.IL
RICA.L
0MCK.IL
0HBC.IL
DWL.L
PAF.L
TMPL.L
UBSGZ.XC
TFIF.L
SPI.L
MTRO.L
0NRE.IL
0IAH.IL
AML.L
ELM.L
KIE.L
SHED.L
0RIC.IL
0RLS.IL
PRSR.L
THRL.L
0K78.IL
SQZ.L
0NXX.IL
0ILK.IL
DOCS.L
BSIF.L
SEIT.L
JEGI.L
NCC.L
RNK.L
WIX.L
0HB4.IL
CRT.L
0KED.IL
0N9S.IL
PANR.L
